,Dates,PX_LAST,Dividend_Per_Share,TOTAL_EQUITY,CUR_MKT_CAP,Year,TOT_COMPENSATION_AW_TO_EXECS,TOT_SALARIES_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,TOT_SALARIES_PAID_TO_EXECUTIVES,TOTAL_BONUSES_PAID_TO_EXECUTIVES,ALL_OTHER_COMP_AW_TO_EXECS,TOT_STK_AWARDS_GIVEN_TO_EXECS,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,T_PEN_NQ_DEF_PEN_GVN_TO_EXECS,TOT_OTHER_COMP_AW_TO_EXECS,NUM_EXECUTIVE_CHANGES,DATE_OF_LAST_EXECUTIVE_CHANGE,NUM_EXECS_INC_IN_COMPENSATION_PD,CEO_DUALITY,TOT_COMP_AW_TO_CEO_EQUIV,TOT_SAL_BNS_AW_TO_CEO_EQUIV,TOT_N_EQT_INCENT_GVN_TO_CEO_EQ,TOT_SALARIES_PAID_TO_CEO_EQUIV,TOT_BONUSES_PAID_TO_CEO_EQUIV,ALL_OTHER_COMP_AW_TO_CEO_EQUIV,TOT_STK_AWD_GIVEN_TO_CEO_EQUIV,TOT_OPT_AWD_GIVEN_TO_CEO_EQUIV,T_PEN_NQ_DEF_PEN_GVN_CEO_EQ,TOT_OTHER_COMP_AW_TO_CEO_EQUIV,NUM_CEO_EQUIVALENT_CHANGES,COMP_LKD_LAST_CEO_&_EQUIV_CHG_DT,NUM_CEOS_EQUIV_INC_COMP_PD,CEO_TENURE_AS_OF_FY_END,TOT_COMP_AW_TO_CFO_EQUIV,TOT_COMP_AW_TO_COO_EQUIV,TOTAL_BOD_COMPENSATION_AWARDED,TOTAL_BOD_FEES_PAID_IN_CASH,TOTAL_BOD_STOCK_AWARDS_GIVEN,NUMBER_OF_BOD_CHANGES_DURING_FY,DATE_OF_LAST_BOD_CHANGE,NUM_DIR_INC_IN_CMPNSTN_PD
TOT_COMP_AW_TO_CEO_EQUIV,0.02971137177314638,-0.01930509779246757,-0.039241106264320556,-0.02097463593258661,0.02738388845136441,0.029971506991804116,0.9726821957958866,-0.008015340512925689,-0.008168723730714818,0.006686822301377474,-0.010502101616119173,0.9774014946947869,0.029454486663868504,0.9870133271840686,-0.014400229814168936,-0.014878770582551996,0.034885865744711066,0.054486604050560924,-0.03847725947038045,-0.060678099281767935,1.0,0.009655942454275245,0.008231815299501368,0.0186578964864353,-0.015664039949600406,0.9995307745690584,0.07862994282464024,0.9908603062260394,-0.003938885564184435,-0.005324291646755686,0.01087224713930316,-0.0008156892395370491,0.04698180670078505,0.023662666135174655,0.018992956843670573,0.02808867969195382,0.025530063588783274,-0.09162899695345579,-0.00953099153233256,0.020282599095806427,0.05004724596243312,-0.021982581216806567
TOT_SAL_BNS_AW_TO_CEO_EQUIV,0.17818003959154857,0.07132781018064678,-0.02925101874246757,0.2116681362735715,0.31857855112012123,0.17848929022952595,0.06500691831982823,0.7803489428071311,0.6147199902982607,0.5117984945024854,0.12924310428856203,0.004596252715288963,0.14357690582182903,-0.0336503890450957,0.07016432205772886,-0.15137636363947188,0.063489560299699,0.17564762528188743,-0.033252251783800334,-0.06268057924714081,0.009655942454275245,1.0,0.7351226205057731,0.6524534487934674,0.1782020933777549,-0.020977711940606273,0.14637220170005072,-0.03706936482383619,0.06556477209985115,-0.1403797365791736,0.18807994123373054,0.31987685753881606,0.4072980891968561,-0.1328807081344225,0.3352693389985331,0.28175604200443133,-0.06256046309504562,0.10125815259627138,-0.05881909004269295,-0.010425509101033239,0.16570770731303885,0.13483060306573888
TOT_N_EQT_INCENT_GVN_TO_CEO_EQ,0.16292461449993292,0.0706522355853094,-0.013074675942250273,-0.019811248496562357,0.39876219413857156,0.1634141239133441,0.05886756303929737,0.45361066721130094,0.8946339912154232,0.06480636798753078,-0.29335061067111373,0.023840087365312956,0.21935541935712438,-0.031758758255796216,-0.05684304147347868,-0.09224506420358351,-0.01787962196352927,0.13269891327428168,-0.07940489823131748,-0.12459715683996299,0.008231815299501368,0.7351226205057731,1.0,0.14698604462515322,-0.3293629751420472,-0.014287873596966419,0.14641453472400237,-0.030561755798049185,0.0013982518928199953,-0.0793555224087737,0.08821644277679992,0.21870738520543018,0.2400185847701947,-0.1788109733170746,0.3507378615307786,0.12433684761197569,-0.03664223918922525,0.04754276459655516,-0.03309398900479715,-0.04940126784678431,0.1255178958287646,0.01330980218981614
TOT_SALARIES_PAID_TO_CEO_EQUIV,0.10725522876553696,0.18319973041912124,-0.04049419692377882,0.06770167202971641,0.044083925119101586,0.10750519854519287,0.03286854833371239,0.5279790499186293,0.09140600422571972,0.8095043100240601,0.00741067802027429,-0.00805172170124546,-0.07631029717411623,0.012870200036153174,0.0815299427315034,-0.08618656022157203,0.07584761823066187,0.13172801181350063,0.02792194202553118,-0.03420400695622849,0.0186578964864353,0.6524534487934674,0.14698604462515322,1.0,0.03820384508652112,-0.0013312803763330168,-0.02201083858311292,0.0022263219600676372,0.06340086068341574,-0.07524496112309587,0.17664922252802243,0.27718954453298944,0.4086391420482851,0.05152385453730437,0.115889776637477,0.21203428665659704,-0.04168088671125704,-0.004831336136708916,-0.04133602127657176,0.012710923894169567,0.12343948238519725,0.1294019424987584
TOT_BONUSES_PAID_TO_CEO_EQUIV,-0.01765113083250616,-0.1903050430233029,0.005221432848649158,0.45678334297384066,-0.05300146799719063,-0.01815203976719868,0.002368288199199125,0.3432060813770202,-0.3472245373283483,0.09467925449645546,0.8534737439856281,-0.024311412809775525,0.019618967031532777,-0.035638060292256524,0.17378689929289817,-0.07854154656988133,0.09113838647725368,0.003409469725281326,0.036996019034417654,0.12930396540957162,-0.015664039949600406,0.1782020933777549,-0.3293629751420472,0.03820384508652112,1.0,-0.021120005996273686,0.09746401244872073,-0.032901474353662905,0.07489987356629775,-0.0903291159536641,0.06180349125305079,0.0037001420497007696,0.00888717470620517,-0.040447866196938284,-0.01093419342912806,0.1722475870810068,-0.027789288413290442,0.15640544870116205,-0.026049150052131754,0.053137380042888115,0.003622832069114012,0.13547049740299466
ALL_OTHER_COMP_AW_TO_CEO_EQUIV,0.024248211148462016,-0.021486661451599318,-0.03833828348851486,-0.027454812028019557,0.017620447172468696,0.024498828288778224,0.9705221985312289,-0.03191758320783692,-0.02699739712405781,-0.008991738547282383,-0.014459252218057913,0.9770911771700197,0.025051333083057493,0.9878729128879657,-0.016547004252667204,-0.010239232250947276,0.03293500405545542,0.049096719154234476,-0.03745200349084306,-0.058747544754880726,0.9995307745690584,-0.020977711940606273,-0.014287873596966419,-0.0013312803763330168,-0.021120005996273686,1.0,0.07413263457036842,0.9918239546878229,-0.005946581147848021,-0.0010232589458447703,0.005109100477431695,-0.010614009144124033,0.034497311182478604,0.02772896111253174,0.008719699054051776,0.019453062519542163,0.027441986362712993,-0.09471484204742535,-0.00772759326386123,0.020598435166824806,0.04496261041434128,-0.026108896737954627
TOT_STK_AWD_GIVEN_TO_CEO_EQUIV,0.23301024093867279,0.06698150380488689,0.060400245960213116,0.18486578953691576,0.41955933292556563,0.23369689991964696,0.14076492400217194,0.14168329912365338,0.1679480694773014,-0.08070206762258744,0.12476097194378938,0.13033958111642338,0.6941787277860108,-0.05825117965500158,-0.034050824592300126,-0.10890621396909467,0.07238107846295525,0.19383416362543615,-0.07976557625481265,-0.05753716390066648,0.07862994282464024,0.14637220170005072,0.14641453472400237,-0.02201083858311292,0.09746401244872073,0.07413263457036842,1.0,-0.049257839546154,-0.021638752121600786,-0.09273478992076983,0.15829928461624468,0.11208271827223514,0.23449426674822837,-0.05103976279495353,0.16062157119268536,0.1071220402782302,-0.038103065050214456,0.02515913074711143,-0.03343034733987037,0.04119255271591767,0.2387237425774758,0.08309843001747089
TOT_OPT_AWD_GIVEN_TO_CEO_EQUIV,-0.0064376227123365505,-0.031111890916027098,-0.04534949232667532,-0.05671148135609951,-0.038199669358707194,-0.006242101899335217,0.9519373388214535,-0.04798129086567243,-0.04484916382213951,0.001892112193447062,-0.03152947994329988,0.9596772623906508,-0.06741254348114946,0.997291577530789,-0.02818393095773017,-0.021393319672546093,0.021512634055820094,0.02160438031220425,-0.02602994750443702,-0.05909673765042917,0.9908603062260394,-0.03706936482383619,-0.030561755798049185,0.0022263219600676372,-0.032901474353662905,0.9918239546878229,-0.049257839546154,1.0,-0.022672376228134845,-0.015467330959091915,-0.016487050301543453,-0.023523245870659945,0.0031729996065467596,0.031905004201674574,-0.019840623350502698,-0.005228341687360457,0.03064289698799464,-0.09636662194577301,-0.005194281736835734,0.014597207049623084,0.01290329212508577,-0.035192241089743476
T_PEN_NQ_DEF_PEN_GVN_CEO_EQ,-0.06543028740186943,-0.11336043086308749,0.12400865554558942,0.14217925332090087,-0.0968379455564378,-0.06715828805967622,-0.010739901828028881,0.027109624697751966,-0.010617951115449817,0.019205419759105325,0.0380653127870348,-0.012893327671763608,-0.10136829839882049,-0.023095929931169528,0.8610293307324871,-0.036343124680705906,0.07238244213731092,-0.006992004108258034,-0.0142152416809717,0.19754043683282793,-0.003938885564184435,0.06556477209985115,0.0013982518928199953,0.06340086068341574,0.07489987356629775,-0.005946581147848021,-0.021638752121600786,-0.022672376228134845,1.0,-0.0529030768034256,0.0825209271896952,0.12634564433327197,0.06106811502685381,-0.15972667878597188,-0.03354458410319948,-0.16235934802459231,-0.018278581888172957,0.10370622924090114,-0.017042563669369466,0.032408131131222984,-0.02629590115702892,0.25066258008541026
TOT_OTHER_COMP_AW_TO_CEO_EQUIV,0.10394654703253263,0.12707598555128657,-0.11011272942807145,0.09767863091884522,0.1718026245609518,0.10435743298948721,0.07542278530984543,-0.08583885043291496,-0.11218609154313713,-0.03534723086200977,0.014799649358331774,0.0824157133246889,0.24994156785588825,-0.01894636843446464,-0.059042131403135835,0.9425253643694678,0.03330724551668609,0.12514578564939252,-0.03370933910977413,0.1412725534728256,-0.005324291646755686,-0.1403797365791736,-0.0793555224087737,-0.07524496112309587,-0.0903291159536641,-0.0010232589458447703,-0.09273478992076983,-0.015467330959091915,-0.0529030768034256,1.0,-0.0178530689697212,-0.14171938805304696,0.019368096786997604,0.20873227854541065,0.32749491687485577,0.5303861017479082,0.07426851147432892,-0.15056712883994355,0.0748555642335343,0.0035053244149405387,0.09834302490400584,-0.2358922164415308
NUM_CEO_EQUIVALENT_CHANGES,-0.059171255735553444,-0.011686341059999888,0.010566549386284067,0.059024122945981666,-0.05490215495757654,-0.058994725157995774,-0.0006810760400880841,0.06781976775767122,0.019060527737547548,0.10712634630037422,-0.009988317178978804,-0.005957998294082542,0.03430585514843114,-0.01759961403299822,0.0455970485396257,-0.017728681649977675,0.4587332527274527,0.06423645216881259,0.10547487556002963,-0.1418344999936929,0.01087224713930316,0.18807994123373054,0.08821644277679992,0.17664922252802243,0.06180349125305079,0.005109100477431695,0.15829928461624468,-0.016487050301543453,0.0825209271896952,-0.0178530689697212,1.0,0.3302687234169384,0.6925750999540489,-0.2721029850798236,-0.055065394258973485,0.01420104507437566,-0.01936610775014707,0.09550471333183405,-0.018619592909851473,0.17184805852305057,-0.02885019531097059,0.16047656536717053
COMP_LKD_LAST_CEO_&_EQUIV_CHG_DT,0.3550970247940703,0.22479617905824692,0.17729694939488427,0.12269061975050682,0.00740223254033249,0.3570716706540415,-0.024990558363621282,0.09471088718893675,0.1363302420232505,0.11316992029752679,-0.09958006820326006,-0.03246105595527215,-0.033268270374128786,-0.0241611361570996,0.10541721420896463,-0.11815343609707282,0.25521641353571395,0.45183031128400947,0.009141401927957314,-0.18056284795154215,-0.0008156892395370491,0.31987685753881606,0.21870738520543018,0.27718954453298944,0.0037001420497007696,-0.010614009144124033,0.11208271827223514,-0.023523245870659945,0.12634564433327197,-0.14171938805304696,0.3302687234169384,1.0,0.3173635634979345,-0.8377774373027559,0.009909036621075699,-0.09355412663154891,-0.05260052821632069,0.3336489635067468,-0.052106697226198144,0.24341206579704097,0.391912304016739,0.2609838398565434
NUM_CEOS_EQUIV_INC_COMP_PD,0.09424111126634827,0.1191859375351726,0.019080361357144273,0.009034638361022989,-0.006423615137143635,0.09429039569918057,0.053223262505051896,0.21846722168325075,0.11435338260019029,0.29493611888210786,-0.0429707847768639,0.036458121966879434,0.10499663295526994,0.007805135071450168,-0.0037627744338908117,-0.005900942110083604,0.3972661622916878,0.1616047239101372,0.023547646135076084,-0.18257585122609887,0.04698180670078505,0.4072980891968561,0.2400185847701947,0.4086391420482851,0.00888717470620517,0.034497311182478604,0.23449426674822837,0.0031729996065467596,0.06106811502685381,0.019368096786997604,0.6925750999540489,0.3173635634979345,1.0,-0.19393164701486953,0.09932029239060321,0.12921397157617848,-0.016024498184388652,-0.055318689467315656,-0.0156431239549053,0.1089246358419744,0.0971589630491348,0.09521761997620323
CEO_TENURE_AS_OF_FY_END,0.04222484190962861,-0.025624497892795695,-0.1797901181576496,-0.09887462594500936,0.09693245070568761,0.04248014276525596,0.060402408046623175,0.046542622919791624,-0.13334912898834256,0.15115556359500817,0.08023063594379637,0.05703734215797669,0.07467143068728975,0.0370924128267419,-0.13984195741169558,0.1729108008003078,-0.27145295395359587,-0.07756976863415234,-0.00869376959423479,0.17708191951310107,0.023662666135174655,-0.1328807081344225,-0.1788109733170746,0.05152385453730437,-0.040447866196938284,0.02772896111253174,-0.05103976279495353,0.031905004201674574,-0.15972667878597188,0.20873227854541065,-0.2721029850798236,-0.8377774373027559,-0.19393164701486953,1.0,0.07100850653085795,0.25433150421797696,0.022111791398032616,-0.35729705616713275,0.021324140289063133,-0.2673462802889056,-0.0024156396572177323,-0.2658230696685121
TOT_COMP_AW_TO_CFO_EQUIV,0.20256887592955342,0.08862072702305929,-0.07579322294549273,0.2115720840316583,0.4370340073864658,0.20351347186630256,0.16599246659386763,0.3903072798355713,0.38347640342240186,0.11376262176794395,0.11500960121943335,0.13633893015726997,0.439418146507058,0.0027740520674154594,-0.022391432348398455,0.33966403128054373,0.093188146906803,0.2004165678768994,-0.09774051568336677,-0.03781395739338995,0.018992956843670573,0.3352693389985331,0.3507378615307786,0.115889776637477,-0.01093419342912806,0.008719699054051776,0.16062157119268536,-0.019840623350502698,-0.03354458410319948,0.32749491687485577,-0.055065394258973485,0.009909036621075699,0.09932029239060321,0.07100850653085795,1.0,0.43022375839969135,0.08768476207256357,-0.1431002955741266,0.08388134379483245,-0.11127549207338903,0.1719442523552824,-0.23480356151880266
TOT_COMP_AW_TO_COO_EQUIV,0.22068871279629662,0.17803853081273271,-0.04494133874984131,0.27716785390822424,0.28143900866121885,0.22127280755976222,0.12621723194502357,0.376829780056669,0.03784869344802146,0.24818885803799093,0.3442352160956567,0.09744428907435562,0.33048809260860246,-0.002982066491268568,-0.19116474451972684,0.4692186236680351,0.04320341163101199,0.21612495727611444,-0.04493686729833526,0.056679943889714236,0.02808867969195382,0.28175604200443133,0.12433684761197569,0.21203428665659704,0.1722475870810068,0.019453062519542163,0.1071220402782302,-0.005228341687360457,-0.16235934802459231,0.5303861017479082,0.01420104507437566,-0.09355412663154891,0.12921397157617848,0.25433150421797696,0.43022375839969135,1.0,0.06323635601506555,-0.16500226408367719,0.06539468219256536,-0.10395030760652631,0.19720394727001397,-0.28727008773942203
TOTAL_BOD_COMPENSATION_AWARDED,-0.07826055843537655,-0.027699370106524655,-0.037303019719237135,-0.03454876493645516,-0.01431782492135897,-0.080347647449506,0.03222751849452084,-0.04903678255399936,-0.044167516931262855,-0.0321967453817655,-0.0020404468933972082,0.03617661062422076,0.022485954018145158,0.02981296802592445,-0.021327910812071745,0.043290231591684096,0.09680413341527998,-0.053378537693753815,-0.0022653932803436746,0.0437048517410541,0.025530063588783274,-0.06256046309504562,-0.03664223918922525,-0.04168088671125704,-0.027789288413290442,0.027441986362712993,-0.038103065050214456,0.03064289698799464,-0.018278581888172957,0.07426851147432892,-0.01936610775014707,-0.05260052821632069,-0.016024498184388652,0.022111791398032616,0.08768476207256357,0.06323635601506555,1.0,-0.05877536629773757,0.99887493673404,-0.025363562719364432,-0.06415105778267285,-0.08530624349806772
TOTAL_BOD_FEES_PAID_IN_CASH,0.049536983690814045,-0.3208772134074869,-0.08874994170077008,0.3069992430477768,-0.13269021169568135,0.04996868867545576,-0.1385022880051007,0.0664197234636629,0.05232964310562973,-0.042290901075672994,0.09149664069025991,-0.1442507020752986,-0.10932657096102673,-0.11508839808843765,0.08238663044112289,-0.12955149560006496,0.15587202188301555,0.06568919316917929,0.1266945503200225,-0.13952163309613635,-0.09162899695345579,0.10125815259627138,0.04754276459655516,-0.004831336136708916,0.15640544870116205,-0.09471484204742535,0.02515913074711143,-0.09636662194577301,0.10370622924090114,-0.15056712883994355,0.09550471333183405,0.3336489635067468,-0.055318689467315656,-0.35729705616713275,-0.1431002955741266,-0.16500226408367719,-0.05877536629773757,1.0,-0.05984690425299778,0.24249482632644626,0.08274590946593728,0.48198723844391905
TOTAL_BOD_STOCK_AWARDS_GIVEN,-0.07729008296132445,-0.02195050166330726,-0.0322961130207656,-0.032032992206258847,-0.009590324514935708,-0.07939527664148435,-0.0012377876617547905,-0.045186617646227355,-0.03930645421611916,-0.032575690568739886,-0.0006756851569361586,0.0022709706248632503,0.029424474426593634,-0.006725012139593223,-0.020201564336462738,0.0442934190932983,0.09426515409422238,-0.053700161325360096,-0.0033081350531582922,0.045607063525378536,-0.00953099153233256,-0.05881909004269295,-0.03309398900479715,-0.04133602127657176,-0.026049150052131754,-0.00772759326386123,-0.03343034733987037,-0.005194281736835734,-0.017042563669369466,0.0748555642335343,-0.018619592909851473,-0.052106697226198144,-0.0156431239549053,0.021324140289063133,0.08388134379483245,0.06539468219256536,0.99887493673404,-0.05984690425299778,1.0,-0.0271990643433236,-0.06415374013538655,-0.08485286870113617
NUMBER_OF_BOD_CHANGES_DURING_FY,0.035808344451713305,-0.13894996007453458,-0.021830860034259634,0.14871809671479697,-0.08179751795082381,0.03651214118683736,0.01426669774005853,0.006083086975769602,-0.05440579526463143,0.02970871860139439,0.041528670374172474,0.01385371928605186,-0.004786538328671256,0.010570470367926566,0.0923080588686621,0.017845444331955958,0.2008560141382284,0.11104695359756807,0.13686579837353172,-0.07593994253364443,0.020282599095806427,-0.010425509101033239,-0.04940126784678431,0.012710923894169567,0.053137380042888115,0.020598435166824806,0.04119255271591767,0.014597207049623084,0.032408131131222984,0.0035053244149405387,0.17184805852305057,0.24341206579704097,0.1089246358419744,-0.2673462802889056,-0.11127549207338903,-0.10395030760652631,-0.025363562719364432,0.24249482632644626,-0.0271990643433236,1.0,0.15797748101664694,0.574936220988664
DATE_OF_LAST_BOD_CHANGE,0.9552983225595842,0.36977572498103256,0.125707159228524,0.11873356246580966,0.23976116081496981,0.9603356088546904,0.06677126033347526,0.09542808740245542,0.06066051361141536,0.07178674172216738,0.02302541460968019,0.059631399601316304,0.1547615431244928,0.016317723430124366,-0.05030910097068904,0.0818620609104168,0.014414903312619331,0.8863663014695851,-0.10327902249804034,0.0036983535489949933,0.05004724596243312,0.16570770731303885,0.1255178958287646,0.12343948238519725,0.003622832069114012,0.04496261041434128,0.2387237425774758,0.01290329212508577,-0.02629590115702892,0.09834302490400584,-0.02885019531097059,0.391912304016739,0.0971589630491348,-0.0024156396572177323,0.1719442523552824,0.19720394727001397,-0.06415105778267285,0.08274590946593728,-0.06415374013538655,0.15797748101664694,1.0,0.137034405833872
NUM_DIR_INC_IN_CMPNSTN_PD,0.0478562728275322,-0.2718187865683995,0.03534873490566777,0.12148926541760809,-0.17571163650324648,0.04837384800838673,-0.0568428928682963,0.1445231179621985,0.0046982352997606,0.1461069963834833,0.09499382567531257,-0.06832120598634235,-0.11258596636735188,-0.045308883574522084,0.3279958522958015,-0.1937504260862017,0.22064148634146347,0.10116499171980466,0.1585278799111711,0.11404835273666014,-0.021982581216806567,0.13483060306573888,0.01330980218981614,0.1294019424987584,0.13547049740299466,-0.026108896737954627,0.08309843001747089,-0.035192241089743476,0.25066258008541026,-0.2358922164415308,0.16047656536717053,0.2609838398565434,0.09521761997620323,-0.2658230696685121,-0.23480356151880266,-0.28727008773942203,-0.08530624349806772,0.48198723844391905,-0.08485286870113617,0.574936220988664,0.137034405833872,1.0
